id,puntaje,tiempo,enemigos derrotados,enemigos rojos derrotados,enemigos verdes derrotados,precision disparo,player_id,win,
0,0.0,2808.0,0,0,0,0.0,QQQ,1,
1,0.0,2118.0,0,0,0,0.0,SAA,1,
2,0.0,2855.0,0,0,0,0.0,SAA,1,
3,0.0,8324.0,0,0,0,0.0,SAA,0,
4,0.0,17691.0,0,0,0,0.0,SAA,0,
5,0.0,19349.0,0,0,0,0.0,AAA,0,
6,0.0,11887.0,0,0,0,37.5,JJJ,0,
7,0.0,1240.0,0,0,0,100.0,JJJ,1,
8,300.0,11917.0,5,1,4,18.421053,SSS,1,
9,0.0,10505.0,0,0,0,0.0,YYY,0,
10,0.0,15764.0,0,0,0,0.0,SSS,,
11,0.0,1186.0,0,0,0,100.0,SSS,,
12,0.0,3420.0,0,0,0,100.0,SSS,,
13,0.0,16603.0,0,0,0,0.0,SSS,,
14,0.0,3231.0,0,0,0,0.0,FFF,1,
14,0.0,3231.0,0,0,0,0.0,FFF,1,
16,0.0,7922.0,0,0,0,0.0,FFF,0,
17,0.0,14725.0,0,0,0,0.0,FFF,0,
